avg_speed,avg_spin,avg_break_x,avg_break_z,avg_break_z_induced,avg_break,range_speed,usage_pct,name,year,pitch_hand,arm_angle,pitch_type,umap_1,umap_2,player_id,savant_url,correct_savant_url
81.1,2731.0,9.8,-41.8,-0.1,10.2,1.1,68.7,"McGowin, Kyle",2021,R,37.7,SL,0.4582925,6.382312,641851,https://baseballsavant.mlb.com/sporty-videos?playId=633786-6,https://baseballsavant.mlb.com/sporty-videos?playId=7947b709-dc28-4565-b534-0df99ea78b8c
95.1,2109.0,-14.2,-21.3,8.8,16.8,1.5,23.1,"Márquez, Germán",2022,R,34.2,SI,11.5005665,3.2316425,608566,https://baseballsavant.mlb.com/sporty-videos?playId=663002-1,https://baseballsavant.mlb.com/sporty-videos?playId=1ce888a3-98cd-4b30-84a0-43428fb12b3a
84.2,2617.0,10.7,-47.7,-8.2,14.0,1.2,44.6,"Allen, Cody",2017,R,,CU,-0.39748633,6.1123,592102,,
84.3,2647.0,4.9,-44.9,-5.7,8.6,1.7,42.2,"Bedrosian, Cam",2017,R,,SL,0.5490685,5.7862597,592135,https://baseballsavant.mlb.com/sporty-videos?playId=492309-3,https://baseballsavant.mlb.com/sporty-videos?playId=a683089d-522f-4a0b-927d-7b06848aaced
87.8,2389.0,9.7,-16.7,18.8,21.2,1.4,44.1,"Hill, Rich",2020,L,39.6,FF,9.392783,10.614003,448179,https://baseballsavant.mlb.com/sporty-videos?playId=631270-1,https://baseballsavant.mlb.com/sporty-videos?playId=3e86e9f0-96ab-4ca9-b91c-61a8b2f7c66c
93.4,2222.0,12.1,-16.1,15.4,19.7,1.2,41.6,"Wentz, Joey",2023,L,40.2,FF,8.983967,10.827396,666214,https://baseballsavant.mlb.com/sporty-videos?playId=716395-3,https://baseballsavant.mlb.com/sporty-videos?playId=e1f3fd89-4d37-43b7-815b-d69cd88ecf9f
81.1,2340.0,-4.5,-45.9,-4.0,6.6,1.7,26.2,"Skoglund, Eric",2018,L,,CU,1.2809943,2.7816126,607215,https://baseballsavant.mlb.com/sporty-videos?playId=529802-4,https://baseballsavant.mlb.com/sporty-videos?playId=f91bc5d4-9f24-4a31-a561-b17de1105f82
81.2,1963.0,0.5,-40.9,1.0,2.8,2.1,28.9,"Pineda, Michael",2021,R,38.5,SL,2.3700976,3.0612092,501381,https://baseballsavant.mlb.com/sporty-videos?playId=632926-4,https://baseballsavant.mlb.com/sporty-videos?playId=05c137df-2b24-481c-9ebe-3cc16cbc3369
88.2,1583.0,-15.7,-30.1,4.9,16.6,1.3,10.5,"DeSclafani, Anthony",2021,R,40.7,CH,9.42058,-1.3987919,543101,https://baseballsavant.mlb.com/sporty-videos?playId=634428-2,https://baseballsavant.mlb.com/sporty-videos?playId=f8a8365f-eb94-4b7d-affd-5881d61a6f68
94.8,2290.0,-17.6,-20.0,10.4,20.5,1.0,39.7,"Kittredge, Andrew",2019,R,,SI,13.07969,3.8385668,552640,https://baseballsavant.mlb.com/sporty-videos?playId=566740-2,https://baseballsavant.mlb.com/sporty-videos?playId=c017e9f3-bbc8-4261-8fb2-8030f94135c5
85.1,2762.0,7.8,-37.8,0.2,8.4,2.1,19.9,"Robertson, David",2023,R,42.4,SL,2.2176638,3.1760929,502085,https://baseballsavant.mlb.com/sporty-videos?playId=716778-1,https://baseballsavant.mlb.com/sporty-videos?playId=b826b8b2-47cb-4f4b-bb1b-383dc8cf22e8
77.8,1907.0,7.1,-41.5,3.5,8.9,1.4,26.8,"Eshelman, Thomas",2021,R,43.8,SL,0.43522188,4.60777,664045,https://baseballsavant.mlb.com/sporty-videos?playId=633391-3,https://baseballsavant.mlb.com/sporty-videos?playId=47b590f0-0c38-42f3-a5fe-093d58ce3e34
80.2,1890.0,13.8,-37.6,5.0,15.2,1.4,18.7,"Boyd, Matthew",2023,L,23.9,CH,5.3668914,12.792364,571510,https://baseballsavant.mlb.com/sporty-videos?playId=717668-1,https://baseballsavant.mlb.com/sporty-videos?playId=c38b6053-1ade-4608-ac97-4c05510f2d79
76.9,2162.0,5.4,-53.5,-6.9,9.1,2.3,2.6,"Velázquez, Hector",2019,R,,CU,-1.3599291,2.7198715,584171,https://baseballsavant.mlb.com/sporty-videos?playId=566742-1,https://baseballsavant.mlb.com/sporty-videos?playId=b5623e37-fd65-47ef-805b-7fae56af2d28
