avg_speed,avg_spin,avg_break_x,avg_break_z,avg_break_z_induced,avg_break,range_speed,usage_pct,name,year,pitch_hand,arm_angle,pitch_type,umap_1,umap_2,player_id,savant_url,correct_savant_url
97.4,2134.0,-13.4,-14.4,14.5,19.8,1.1,51.6,"Abreu, Albert",2023,R,39.9,SI,13.951548,6.3212395,656061,https://baseballsavant.mlb.com/sporty-videos?playId=717110-2,https://baseballsavant.mlb.com/sporty-videos?playId=58d433b9-c567-4e89-9c69-d0c6b405cfcc
92.1,2297.0,-7.8,-16.2,16.3,18.4,1.6,32.9,"Martinez, Nick",2016,R,,FF,11.607463,6.144109,607259,https://baseballsavant.mlb.com/sporty-videos?playId=447855-6,https://baseballsavant.mlb.com/sporty-videos?playId=b43a9faf-0ab6-4dfc-af86-c9a4d089ff18
78.8,2104.0,8.3,-57.3,-12.1,14.8,1.4,4.1,"Warren, Adam",2019,R,,CU,-2.5024564,3.7708156,476589,https://baseballsavant.mlb.com/sporty-videos?playId=566286-1,https://baseballsavant.mlb.com/sporty-videos?playId=67eaca56-214c-4ad5-9cde-75d76ab0fe1d
94.3,2328.0,-17.0,-21.9,9.4,19.5,1.3,4.6,"Neris, Héctor",2018,R,,SI,10.44408,3.3765574,593576,https://baseballsavant.mlb.com/sporty-videos?playId=529922-1,https://baseballsavant.mlb.com/sporty-videos?playId=b60bbc67-c5bf-4a8e-8d5f-1ddde674fd35
79.3,2603.0,-5.3,-52.1,-8.6,10.3,1.5,13.0,"Wentz, Joey",2024,L,49.7,CU,0.24875355,1.5960056,666214,https://baseballsavant.mlb.com/sporty-videos?playId=745844-5,https://baseballsavant.mlb.com/sporty-videos?playId=52aecf6b-c102-4cc2-a11f-09c78830e533
82.9,1119.0,10.3,-33.0,6.7,12.5,1.1,30.6,"Imanaga, Shota",2024,L,39.5,FS,4.178844,13.156432,684007,https://baseballsavant.mlb.com/sporty-videos?playId=746849-2,https://baseballsavant.mlb.com/sporty-videos?playId=322321c4-93c0-446e-b5fb-d96fc9b1f058
86.6,2057.0,15.6,-25.9,10.8,19.0,1.3,23.7,"Ragans, Cole",2023,L,43.0,CH,6.0391107,12.000419,666142,https://baseballsavant.mlb.com/sporty-videos?playId=716681-5,https://baseballsavant.mlb.com/sporty-videos?playId=e971194a-0955-4b99-a7a0-bb89c5ef5868
77.5,2074.0,-8.2,-49.6,-3.9,10.2,2.4,20.7,"Irvin, Cole",2022,L,42.5,CU,-0.9469969,1.7553976,608344,https://baseballsavant.mlb.com/sporty-videos?playId=663376-4,https://baseballsavant.mlb.com/sporty-videos?playId=302ca5a1-90c0-46dc-b6f1-18f55a185eaa
85.7,1372.0,14.6,-35.6,1.8,15.1,1.6,29.2,"Rogers, Trevor",2022,L,21.4,CH,4.289516,12.825345,669432,https://baseballsavant.mlb.com/sporty-videos?playId=662122-3,https://baseballsavant.mlb.com/sporty-videos?playId=d848ea72-f04b-46a2-a231-c29099bf408b
73.1,2321.0,-13.5,-63.7,-12.2,18.4,1.2,14.4,"Holmberg, David",2017,L,,CU,-0.124955975,0.49909842,571787,https://baseballsavant.mlb.com/sporty-videos?playId=491090-4,https://baseballsavant.mlb.com/sporty-videos?playId=b8456cfa-1bcb-42ac-9101-261ca96626ba
87.7,2032.0,4.9,-28.7,7.1,9.5,1.5,9.5,"Alcántara, Raúl",2016,R,,SL,3.9187796,5.14145,593417,https://baseballsavant.mlb.com/sporty-videos?playId=448917-6,https://baseballsavant.mlb.com/sporty-videos?playId=3cf5cf89-0ea6-4652-8147-8b93fa225066
94.6,2330.0,12.6,-10.6,20.3,24.1,1.2,1.1,"Kershaw, Clayton",2017,L,,SI,6.6631856,9.706438,477132,https://baseballsavant.mlb.com/sporty-videos?playId=490847-4,https://baseballsavant.mlb.com/sporty-videos?playId=995b1d75-b15d-48ab-ad0b-34613432bb2e
85.9,1961.0,17.4,-34.2,3.4,18.0,1.0,49.9,"Howell, J.P.",2016,L,,SI,8.1745205,12.147345,434442,https://baseballsavant.mlb.com/sporty-videos?playId=447261-3,https://baseballsavant.mlb.com/sporty-videos?playId=3b8d30a2-7c66-4e9f-bdb8-8156fa3749a3
85.4,2587.0,-2.9,-37.7,-0.6,3.0,1.4,0.3,"Alvarado, José",2024,L,65.2,CU,1.1353141,4.495411,621237,https://baseballsavant.mlb.com/sporty-videos?playId=745544-2,https://baseballsavant.mlb.com/sporty-videos?playId=8e512d9a-651c-4ac6-a896-099addb7e350
