name,player_id
"Narveson, Chris",429780
"Ryan, Kyle",594986
"Scherzer, Max",453286
"McGowan, Dustin",430661
"Lamb, John",117429
"Avilán, Luis",501593
"Billingsley, Chad",451532
"Barrett, Aaron",502578
"Ross, Tyson",475115
"Colomé, Alex",517008
"Hendriks, Liam",521230
"Breslow, Craig",444520
"Brooks, Aaron",605156
"Jepsen, Kevin",448178
"Logan, Boone",457429
"Báez, Pedro",520980
"Chavez, Jesse",445926
"Morgan, Adam",605388
"Bedrosian, Cam",592135
"Kershaw, Clayton",477132
"May, Trevor",543507
"Miley, Wade",489119
"Chacín, Jhoulys",468504
"Anderson, Brett",474463
"Alburquerque, Al",456379
"Cunniff, Brandon",594792
"Tanaka, Masahiro",547888
"Pineda, Michael",501381
"Miller, Justin",502522
"Manship, Jeff",453249
"Storen, Drew",519322
"Stauffer, Tim",431162
"Vincent, Nick",543883
"García, Luis",408202
"Gomes, Brandon",460156
"Tepera, Ryan",572193
"González, Chi Chi",592346
"Strickland, Hunter",519326
"Capuano, Chris",425626
"Williams, Jerome",425532
"Wacha, Michael",608379
"Pérez, Williams",554234
"Mateo, Marcos",456496
"Jennings, Dan",543359
"Kimbrel, Craig",518886
"Masterson, Justin",475416
"Cravy, Tyler",572788
"Frías, Carlos",516910
"Ellington, Brian",623395
"Morrow, Brandon",453344
"Liriano, Francisco",434538
"Hellickson, Jeremy",476451
"Kelley, Shawn",518875
"Reed, Addison",592665
"Hunter, Tommy",488984
"Richards, Garrett",572070
"Iglesias, Raisel",628452
"Tolleson, Shawn",474521
"Wolf, Randy",150116
"Hatcher, Chris",501822
"Lincecum, Tim",453311
"Betances, Dellin",476454
"Villanueva, Carlos",453646
"Villarreal, Pedro",543881
"Peralta, Wily",503449
"Rodríguez, Francisco",408061
"Collmenter, Josh",518567
"Adams, Austin",613534
"Peavy, Jake",408241
"Rondón, Bruce",541652
"McAllister, Zach",502083
"Wood, Travis",475243
"Lohse, Kyle",346798
"Frasor, Jason",430630
"Quintana, Jose",500779
"Qualls, Chad",430589
"Hand, Brad",543272
"Shoemaker, Matt",533167
"Rea, Colin",607067
"Carroll, Scott",453222
"Burgos, Enrique",111709
"Delabar, Steve",447755
"Peralta, Joel",407908
"Matzek, Tyler",554431
"Lackey, John",407793
"Socolovich, Miguel",462515
"Webster, Allen",543903
"Vizcaíno, Arodys",527055
"Fields, Josh",435222
"Pelfrey, Mike",460059
"Brown, Brooks",453156
"Gómez, Jeanmar",491646
"Betancourt, Rafael",429783
"Paxton, James",572020
"Kluber, Corey",446372
"Perkins, Glen",450282
"Smyly, Drew",592767
"Richard, Clayton",453385
"Tazawa, Junichi",547749
"Delgado, Randall",517414
"Heaney, Andrew",571760
"Boxberger, Brad",502202
"Buehrle, Mark",279824
"Dyson, Sam",473879
"Freeman, Sam",518693
"Thornton, Matt",407819
"Strasburg, Stephen",544931
"Hernandez, David",456696
"Thompson, Aaron",457744
"Finnegan, Brandon",605232
"Watson, Tony",453265
"Geltz, Steve",544993
"Tillman, Chris",501957
"Detwiler, Ross",446321
"Salazar, Danny",517593
"Kela, Keone",605309
"Correia, Kevin",429781
"Gorzelanny, Tom",452733
"Wainwright, Adam",425794
"Nola, Aaron",605400
"Nuño, Vidal",573064
"Haren, Dan",429717
"Bergman, Christian",548357
"Chen, Wei-Yin",612672
"Gott, Trevor",641627
"Ventura, Yordano",570649
"Nova, Iván",467100
"Lowe, Mark",450275
"Liberatore, Adam",571893
"Friedrich, Christian",543184
"Guthrie, Jeremy",425386
"Oberholtzer, Brett",519085
"Familia, Jeurys",544727
"Chapman, Aroldis",547973
"Lyles, Jordan",543475
"Maness, Seth",595307
"Cahill, Trevor",502239
"Neris, Héctor",593576
"Janssen, Casey",445163
"Vargas, Jason",450306
"Lewis, Colby",407890
"Soria, Joakim",465657
"Hamels, Cole",430935
"Grilli, Jason",276351
"Shaw, Bryan",543766
"Uehara, Koji",493157
"Kendrick, Kyle",452718
"Wilson, Alex",543935
"Abad, Fernando",472551
"Duffy, Danny",518633
"Morton, Charlie",119424
"Machi, Jean",466948
"Sánchez, Aníbal",434671
"Hardy, Blaine",543278
"Strop, Pedro",467008
"Melancon, Mark",453343
"López, Javier",425657
"Madson, Ryan",425492
"Anderson, Cody",594736
"Sanchez, Aaron",592717
"Greene, Shane",572888
"Rodón, Carlos",607074
"De La Rosa, Jorge",407822
"Beimel, Joe",346847
"Bradley, Archie",605151
"Banuelos, Manny",544365
"Bolsinger, Mike",502211
"Neshek, Pat",450212
"Allen, Cody",592102
"Giles, Ken",571704
"Morris, Bryan",457768
"Benoit, Joaquín",276542
"Cashner, Andrew",488768
"Layne, Tommy",518927
"Stults, Eric",445590
"Ross, Joe",605452
"Cishek, Steve",518553
"Davis, Wade",451584
"Hill, Rich",448179
"Givens, Mychal",571710
"Weber, Ryan",543901
"McKirahan, Andrew",605374
"O'Day, Darren",503285
"Tomlin, Josh",458708
"Karns, Nate",501992
"Shields, James",448306
"Porcello, Rick",519144
"Venditte, Pat",519381
"Knebel, Corey",608349
"Marcum, Shaun",451788
"Rollins, David",543716
"Wada, Tsuyoshi",493159
"Schultz, Bo",544759
"Torres, Carlos",448614
"Pomeranz, Drew",519141
"Greinke, Zack",425844
"Johnson, Erik",116586
"Goeddel, Erik",592340
"Holmberg, David",571787
"Ureña, José",570632
"González, Miguel",544838
"Danks, John",433579
"Nicasio, Juan",504379
"Jeffress, Jeremy",502026
"Pinder, Branden",572038
"Hutchison, Drew",571800
"Cooney, Tim",608641
"Oberg, Scott",623184
"Roark, Tanner",543699
"Niese, Jonathon",477003
"Scahill, Rob",543746
"Thornburg, Tyler",592804
"Herrera, Kelvin",516969
"Bauer, Trevor",545333
"Hochevar, Luke",460024
"Ogando, Alexi",468396
"Frieri, Ernesto",457117
"García, Yimi",554340
"Kontos, George",502004
"Cosart, Jarred",543054
"Martin, Cody",592533
"Capps, Carter",605169
"Duensing, Brian",488846
"Corbin, Patrick",571578
"Barnes, Matt",598264
"Brault, Steven",643230
"Dull, Ryan",623430
"Biagini, Joe",607352
"Darvish, Yu",506433
"O'Rourke, Ryan",594951
"Kintzler, Brandon",445213
"Urías, Julio",628711
"Green, Chad",643338
"Triggs, Andrew",592811
"Floyd, Gavin",425856
"Clevinger, Mike",605182
"Estévez, Carlos",608032
"Giolito, Lucas",608337
"Solís, Sammy",519301
"Ramos, Edubray",591693
"Ynoa, Michael",573589
"Meyer, Alex",543542
"Coulombe, Danny",543056
"Ohlendorf, Ross",456027
"Feliz, Michael",593140
"Surkamp, Eric",474668
"Jones, Nate",518858
"Hoffman, Jeff",656546
"Ranaudo, Anthony",519168
"Shipley, Braden",640463
"Cotham, Caleb",571584
"Domínguez, José",523848
"Dayton, Grant",594795
"Cobb, Alex",502171
"Yates, Kirby",489446
"Ottavino, Adam",493603
"Murray, Colton",605396
"Moylan, Peter",493247
"Snell, Blake",605483
"Peacock, Brad",502748
"Cotton, Jharel",605194
"Withrow, Chris",519437
"Claudio, Alex",592222
"Bundy, Dylan",605164
"Cabrera, Mauricio",606291
"Smith, Chris",627262
"Guerra, Deolis",500610
"Swarzak, Anthony",461872
"Berríos, José",621244
"Suárez, Albert",544150
"Kelly, Casey",543391
"Weaver, Luke",596133
"Henderson, Jim",449104
"Law, Derek",571882
"Perdomo, Luis",606131
"Hessler, Keith",594857
"Taillon, Jameson",592791
"Wright, Daniel",642229
"Harrell, Lucas",449173
"Alcántara, Raúl",593417
"López, Reynaldo",625643
"Leone, Dominic",608678
"Dean, Pat",534737
"McCarthy, Brandon",435221
"Adleman, Tim",534947
"Maeda, Kenta",628317
"Buchter, Ryan",488748
"Anderson, Tyler",542881
"Wittgren, Nick",621295
"Ramírez, Neil",519166
"Straily, Dan",573185
"Gsellman, Robert",607229
"Wood, Blake",502028
"Chatwood, Tyler",543022
"Devenski, Chris",606965
"Eflin, Zach",621107
"Barnes, Jacob",606930
"Boshers, Buddy",542953
"Jenkins, Tyrell",592433
"Musgrove, Joe",605397
"Guerra, Junior",448855
"Mengden, Daniel",596043
"Goody, Nick",580792
"Kuhl, Chad",641771
"Skaggs, Tyler",572140
"Reyes, Alex",621052
"Escobar, Edwin",546276
"Beck, Chris",571476
"Barrett, Jake",545332
"Clemens, Paul",518560
"Bush, Matt",456713
"Rasmus, Cory",474284
"Eveland, Dana",445968
"Coleman, Louis",488786
"Bailey, Andrew",457732
"Ramírez, José",542432
"Neal, Zach",594943
"Flynn, Brian",543169
"Gant, John",607231
"Thompson, Jake",622097
"Garton, Ryan",623439
"Manaea, Sean",640455
"Miranda, Aríel",664641
"Stripling, Ross",548389
"Cervenka, Hunter",543017
"Gearrin, Cory",518715
"Díaz, Edwin",621242
"Rogers, Taylor",573124
"Wang, Chien-Ming",425426
"Blair, Aaron",594760
"Barraclough, Kyle",607457
"Cessa, Luis",570666
"De La Cruz, Joel",503444
"Overton, Dillon",592614
"Fulmer, Michael",605242
"Bracho, Silvino",611093
"Mariñez, Jhan",501697
"LeBlanc, Wade",453281
"Reed, Cody",642003
"Stephenson, Robert",596112
"Stewart, Brock",592779
